label,nmse_db,cdf
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-5.90154445339944,0.585500771694238
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-5.70432248949682,0.594013336107746
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-5.5071005255942,0.598120021595672
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-5.30987856169158,0.604234555732773
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-5.11265659778896,0.608525706763346
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-4.91543463388633,0.613283026034059
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-4.71821266998371,0.615160404475369
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-4.52099070608109,0.615954943600637
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-4.32376874217847,0.621374028286657
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-4.12654677827585,0.624706295310369
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-3.92932481437322,0.639691939866604
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-3.7321028504706,0.647091505513432
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-3.53488088656798,0.663700115250354
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-3.33765892266536,0.675800144241199
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-3.14043695876274,0.699194097112967
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-2.94321499486012,0.718585776529331
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-2.7459930309575,0.734232897559084
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-2.54877106705488,0.746929816017468
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-2.35154910315226,0.765097706950505
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-2.15432713924963,0.770620671355603
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-1.95710517534701,0.778462946718824
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-1.75988321144439,0.784217831767298
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-1.56266124754177,0.790499812822426
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-1.36543928363915,0.793899895968485
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-1.16821731973653,0.794456479745629
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-0.970995355833903,0.795448332318335
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-0.773773391931282,0.799026434107034
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-0.576551428028662,0.802795568130199
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-0.379329464126041,0.808472743106951
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-0.18210750022342,0.809869379161713
"Baseline 2: Optimal RU, fixed beams (0°/0°)",0.015114463679204,0.811933624035744
"Baseline 2: Optimal RU, fixed beams (0°/0°)",0.212336427581825,0.814821748053836
"Baseline 2: Optimal RU, fixed beams (0°/0°)",0.409558391484445,0.817026312668734
"Baseline 2: Optimal RU, fixed beams (0°/0°)",0.606780355387066,0.817815012805633
"Baseline 2: Optimal RU, fixed beams (0°/0°)",0.804002319289687,0.818366105998351
"Baseline 2: Optimal RU, fixed beams (0°/0°)",1.00122428319231,0.818917199191069
"Baseline 2: Optimal RU, fixed beams (0°/0°)",1.19844624709493,0.821272592056225
"Baseline 2: Optimal RU, fixed beams (0°/0°)",1.39566821099755,0.823123931199792
"Baseline 2: Optimal RU, fixed beams (0°/0°)",1.59289017490017,0.824611069468474
"Baseline 2: Optimal RU, fixed beams (0°/0°)",1.79011213880279,0.827636651977309
"Baseline 2: Optimal RU, fixed beams (0°/0°)",1.98733410270542,0.83288822482389
"Baseline 2: Optimal RU, fixed beams (0°/0°)",2.18455606660804,0.834160022719378
"Baseline 2: Optimal RU, fixed beams (0°/0°)",2.38177803051066,0.835200199606664
"Baseline 2: Optimal RU, fixed beams (0°/0°)",2.57899999441328,0.836645209826014
"Baseline 2: Optimal RU, fixed beams (0°/0°)",2.7762219583159,0.842213605768254
"Baseline 2: Optimal RU, fixed beams (0°/0°)",2.97344392221853,0.848238755232358
